src,recv_epoch,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz
sportmodestate,1790279283.854987,0.991415858,-0.00563399494,-0.0505825095,-0.120434932,0.00101781089,-0.101829551,-0.241822675,0.916979253,0.107739076,9.38407326,-0.0191747583,0.00426105736,-0.00426105736
sportmodestate,1790279283.858007,0.991418183,-0.00564097799,-0.0505750515,-0.120418616,0.00100039947,-0.101816438,-0.24178879,1.03309798,0.152031809,9.41040993,-0.0117179072,0.00213052868,-0.0063915858
sportmodestate,1790279283.861463,0.991417944,-0.00563975703,-0.0505742133,-0.120421186,0.00100289448,-0.101814471,-0.241794094,0.950498104,0.0993593708,9.33499241,-0.0063915858,0.00426105736,-0.0031957929
sportmodestate,1790279283.864874,0.991416812,-0.00562884845,-0.0505788922,-0.120429061,0.00102658349,-0.101821132,-0.241811231,0.950498104,0.0993593708,9.33499241,-0.00106526434,0.018109493,-0.0170442294
sportmodestate,1790279283.868187,0.991416276,-0.00563040655,-0.0505806506,-0.120432831,0.00102429418,-0.101824999,-0.241818726,0.958877802,0.14844051,9.3637228,-0.0149137005,0.00213052868,-0.0170442294
sportmodestate,1790279283.871548,0.991417289,-0.005636747,-0.0505720712,-0.120427318,0.00100900535,-0.101809479,-0.241806746,0.958877802,0.14844051,9.3637228,-0.0117179072,0.0245010797,-0.0031957929
sportmodestate,1790279283.874802,0.991416991,-0.00563264359,-0.0505811311,-0.120426059,0.00101925479,-0.101826496,-0.241804838,1.08217919,0.125695586,9.40562153,0.00106526434,-0.00426105736,-0.00745685026
sportmodestate,1790279283.878081,0.991416454,-0.00563057698,-0.0505843498,-0.12042959,0.00102451933,-0.101832397,-0.241812259,0.978031397,0.132878199,9.33259869,-0.0202400219,0.0234358143,-0.0170442294
sportmodestate,1790279283.881502,0.991415441,-0.00562769827,-0.0505856946,-0.120437376,0.00103138608,-0.101834364,-0.241828322,0.937329948,0.189141929,9.30027676,-0.0106526427,0.018109493,-0.00532632135
sportmodestate,1790279283.884808,0.991417348,-0.00562805217,-0.050565403,-0.120429993,0.00102499081,-0.101794116,-0.24181284,0.937329948,0.189141929,9.30027676,-0.00745685026,0.0308926646,0.00958737917
sportmodestate,1790279283.888230,0.991418064,-0.00562831853,-0.0505683534,-0.120422639,0.00102441886,-0.101800047,-0.241798043,0.954089403,0.104147777,9.33738708,-0.0202400219,0.0191747583,-0.00958737917
sportmodestate,1790279283.891752,0.991418064,-0.00562831853,-0.0505683534,-0.120422639,0.00102441886,-0.101800047,-0.241798043,0.954089403,0.104147777,9.33738708,-0.0202400219,0.0191747583,-0.00958737917
sportmodestate,1790279283.895043,0.991416991,-0.00563196465,-0.0505781025,-0.120427623,0.00102003361,-0.101820312,-0.241807997,0.998382092,0.141257897,9.39125633,-0.0266316086,0.0319579281,-0.00532632135
