recv_epoch,tick,power_v,power_a,ff_FR,ff_FL,ff_RR,ff_RL,q_FR_hip,dq_FR_hip,tau_FR_hip,cnt_FR_hip,temp_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,cnt_FR_thigh,temp_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,cnt_FR_calf,temp_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,cnt_FL_hip,temp_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,cnt_FL_thigh,temp_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,cnt_FL_calf,temp_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,cnt_RR_hip,temp_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,cnt_RR_thigh,temp_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,cnt_RR_calf,temp_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,cnt_RL_hip,temp_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,cnt_RL_thigh,temp_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf,cnt_RL_calf,temp_RL_calf
1790283468.371665,199794,30.4736,0.2051,104,102,81,102,-0.0511158518,-0.0465062857,0.024738282,1,27,1.24666131,0.0310041904,-0.0494765639,-2,26,-2.77924871,-0.0141540868,0,0,27,0.043395102,-0.0310041904,0.0742148459,3,27,1.25756121,0.00387552381,0.0742148459,3,26,-2.80588245,0.0262861624,-0.0474150404,-1,27,-0.329022765,0,0,0,28,1.27027225,0.0271286666,0,0,25,-2.78721046,-0.0222421363,0,0,27,0.333186477,-0.0155020952,0,0,28,1.28713691,0,0,0,25,-2.81005287,0.0202201251,0,0,27
1790283468.372148,199795,30.4736,0.2051,104,102,81,102,-0.0511158518,-0.0465062857,0.024738282,1,27,1.24666131,0.0310041904,-0.0494765639,-2,26,-2.77924871,-0.0101100625,0,0,27,0.043395102,-0.0465062857,0,0,27,1.25756121,0.00387552381,0.0742148459,3,26,-2.80588245,0.0262861624,-0.0474150404,-1,27,-0.328992486,0.0465062857,0,0,28,1.27027225,0.0271286666,0,0,25,-2.78719473,0.0101100625,0,0,27,0.333216757,0.0620083809,-0.024738282,-1,28,1.28713691,0,0,0,25,-2.81005287,0.0202201251,0.0474150404,1,27
1790283468.372834,199797,30.4736,0.2051,104,102,81,102,-0.0510855764,0.0155020952,0.12369141,5,27,1.24669158,0.0852615237,-0.0742148459,-3,26,-2.77924871,-0.0101100625,0,0,27,0.043395102,-0.0465062857,0,0,27,1.25753093,-0.0503818095,0.024738282,1,26,-2.80588245,0.0323521979,0,0,27,-0.328992486,0.0465062857,0,0,28,1.27027225,0.0155020952,0,0,25,-2.78719473,0,0,0,27,0.333216757,0.0620083809,-0.024738282,-1,28,1.28716719,0.0503818095,0,0,25,-2.81005287,0.016176099,0.0474150404,1,27
1790283468.374997,199799,30.4736,0.2393,104,102,81,102,-0.0511158518,-0.0387552381,0,0,27,1.24666131,0.0232531428,-0.024738282,-1,26,-2.77924871,-0.00808804948,0,0,27,0.043395102,-0.0271286666,0.0742148459,3,27,1.25756121,0.0581328608,0.0742148459,3,26,-2.80589819,0.00202201237,-0.0474150404,-1,27,-0.329022765,-0.0155020952,0,0,28,1.27027225,0.0581328608,0,0,25,-2.78721046,-0.0303301867,0.142245114,3,27,0.333216757,0.0387552381,0,0,28,1.28713691,-0.00775104761,0,0,25,-2.81005287,0.0141540868,-0.0474150404,-1,27
1790283468.376764,199801,30.4736,0.2051,104,102,81,102,-0.0511158518,-0.0387552381,0,0,27,1.24669158,0.0813859999,-0.024738282,-1,26,-2.77924871,-0.0202201251,0,0,27,0.043395102,-0.0310041904,0.0494765639,2,27,1.25756121,0.019377619,0.12369141,5,26,-2.80591416,0.00808804948,0,0,27,-0.328992486,0.0658839047,0,0,28,1.27027225,0.0271286666,-0.024738282,-1,25,-2.78719473,-0.0242641494,-0.0474150404,-1,27,0.333216757,-0.00775104761,0,0,28,1.28710663,-0.0387552381,0.024738282,1,25,-2.81005287,0.0202201251,0,0,27
1790283468.378707,199803,30.4736,0.2051,104,102,81,102,-0.0510855764,0,0.0494765639,2,27,1.24666131,0.0232531428,-0.12369141,-5,26,-2.77924871,-0.00606603734,0,0,27,0.043395102,-0.0310041904,0.0494765639,2,27,1.25756121,-0.0155020952,0.024738282,1,26,-2.80589819,0,0,0,27,-0.329022765,0,0,0,28,1.27027225,0,0,0,25,-2.78717899,0.0363962241,0,0,27,0.333247036,0.10463915,0,0,28,1.28713691,0.0116265714,0,0,25,-2.81005287,0.00808804948,0,0,27
1790283468.380825,199805,30.4824,0.2051,104,102,81,102,-0.0511461273,-0.11239019,0.024738282,1,27,1.24666131,0.0232531428,-0.0494765639,-2,26,-2.77924871,-0.0121320747,0,0,27,0.043395102,-0.0232531428,0.024738282,1,27,1.25756121,0.00775104761,0.024738282,1,26,-2.80589819,0.00202201237,0.0474150404,1,27,-0.329022765,-0.00387552381,-0.0494765639,-2,28,1.27024198,-0.0426307619,0,0,25,-2.78721046,-0.0222421363,0,0,27,0.333156198,0.0465062857,0,0,28,1.28710663,-0.0620083809,0,0,25,-2.81005287,0.0202201251,0.0474150404,1,27
1790283468.382675,199807,30.4824,0.2051,104,102,81,102,-0.0510855764,0.019377619,0.0742148459,3,27,1.24663103,-0.0348797143,-0.0494765639,-2,26,-2.77924871,-0.0141540868,0,0,27,0.043395102,-0.0387552381,0.024738282,1,27,1.25753093,-0.0620083809,0.024738282,1,26,-2.80589819,0.00202201237,-0.0474150404,-1,27,-0.328992486,0.0465062857,0,0,28,1.27030253,0.0620083809,0,0,25,-2.78721046,-0.0222421363,0,0,27,0.333216757,0.0387552381,0,0,28,1.28710663,-0.0426307619,0,0,25,-2.81006861,-0.0101100625,0,0,27
1790283468.384764,199809,30.4736,0.2393,104,102,81,102,-0.0511461273,-0.10463915,0.024738282,1,27,1.24669158,0.0697594285,-0.0494765639,-2,26,-2.77923298,0.0101100625,0,0,27,0.043395102,-0.0426307619,0.024738282,1,27,1.25756121,-0.0116265714,0.024738282,1,26,-2.80589819,-0.00202201237,0,0,27,-0.328992486,0.0620083809,0,0,28,1.27027225,0.019377619,0,0,25,-2.78719473,0.00202201237,0,0,27,0.333216757,0.0387552381,0,0,28,1.28710663,-0.0542573333,0,0,25,-2.81006861,-0.0101100625,0,0,27
1790283468.386667,199811,30.4736,0.2393,104,102,81,102,-0.0510855764,0.0116265714,0.024738282,1,27,1.24666131,0.0310041904,0.024738282,1,26,-2.77924871,-0.0202201251,0,0,27,0.043395102,-0.0542573333,0.024738282,1,27,1.25756121,0,0,0,26,-2.80589819,0.00808804948,0,0,27,-0.329022765,0,0,0,28,1.27030253,0.0542573333,0,0,25,-2.78719473,0,-0.0474150404,-1,27,0.333186477,-0.019377619,0,0,28,1.28710663,-0.0581328608,0.024738282,1,25,-2.81005287,0.0141540868,0,0,27
