src,recv_epoch,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz
sportmodestate,1790284119.963640,0.99970901,0.00206661131,-0.0106330672,0.0215579979,0.00367440982,-0.0213506725,0.0430826358,0.161608621,0.165199921,9.38527107,-0.00213052868,0.0063915858,-0.0213052854
sportmodestate,1790284119.966737,0.999709368,0.00206184341,-0.0106329378,0.0215452164,0.0036651527,-0.021350164,0.0430571586,0.161608621,0.165199921,9.38527107,-0.00213052868,0.0063915858,-0.00852211472
sportmodestate,1790284119.969908,0.999709427,0.00206339057,-0.0106325326,0.0215391498,0.00366839417,-0.0213493966,0.0430449955,0.190339029,0.153228909,9.35534286,-0.018109493,0.0138484361,-0.0138484361
sportmodestate,1790284119.973366,0.999709547,0.00207471638,-0.0106281163,0.0215346273,0.00369133102,-0.0213410351,0.0430357158,0.201112941,0.16639702,9.35654068,0.00958737917,0.0149137005,-0.0127831716
sportmodestate,1790284119.976494,0.999709487,0.00207518879,-0.010638616,0.0215302836,0.00369191775,-0.0213620327,0.0430269837,0.201112941,0.16639702,9.35654068,-0.0127831716,-0.0117179072,-0.00852211472
sportmodestate,1790284119.980003,0.999709904,0.00208313181,-0.0106312335,0.0215153452,0.00370843871,-0.0213475563,0.0429969467,0.16879122,0.191536129,9.35654068,-0.0117179072,0.0234358143,-0.029827401
sportmodestate,1790284119.983264,0.999710083,0.0020839537,-0.0106361909,0.0215058662,0.00371007156,-0.021357473,0.0429779552,0.16879122,0.191536129,9.35654068,-0.0127831716,0.00958737917,-0.0213052854
sportmodestate,1790284119.986787,0.999709845,0.00208565244,-0.0106462976,0.0215125736,0.00371289253,-0.0213777795,0.0429913066,0.16879122,0.197521642,9.44033718,-0.0106526427,-0.00426105736,-0.0149137005
sportmodestate,1790284119.990392,0.999709845,0.00207344303,-0.0106382826,0.0215149783,0.00368876755,-0.0213612374,0.0429963991,0.165199921,0.178368032,9.38167953,-0.029827401,0.0340884589,-0.00745685026
sportmodestate,1790284119.993372,0.999709487,0.00207333104,-0.0106441304,0.0215277039,0.00368802063,-0.0213729721,0.0430218503,0.165199921,0.178368032,9.38167953,-0.00745685026,0.0063915858,-0.00426105736
sportmodestate,1790284119.996578,0.999709368,0.00207430474,-0.0106453421,0.0215373281,0.00368970959,-0.0213754736,0.0430410728,0.199915841,0.192733243,9.42118359,-0.00106526434,0.00213052868,-0.00106526434
sportmodestate,1790284120.000018,0.999709249,0.00208018813,-0.010636637,0.0215436835,0.00370171363,-0.0213583428,0.0430536941,0.180762231,0.172382519,9.44512558,-0.0138484361,0.0340884589,-0.00106526434
sportmodestate,1790284120.003212,0.999709129,0.00207376387,-0.0106423618,0.0215467643,0.00368855405,-0.0213695243,0.0430599786,0.180762231,0.172382519,9.44512558,-0.0245010797,0.00745685026,-0.0063915858
sportmodestate,1790284120.006575,0.999708891,0.00209264713,-0.0106424717,0.0215571579,0.0037260917,-0.0213705953,0.0430803746,0.199915841,0.181959331,9.45470238,0.00958737917,-0.0127831716,-0.0031957929
sportmodestate,1790284120.009934,0.999708951,0.00209559686,-0.0106466813,0.0215568934,0.00373181491,-0.021379143,0.0430797674,0.22146365,0.192733243,9.33020401,-0.0117179072,0.018109493,-0.0106526427
sportmodestate,1790284120.013263,0.999708652,0.00209352677,-0.0106525384,0.0215621628,0.0037273108,-0.0213907845,0.0430903398,0.22146365,0.192733243,9.33020401,-0.00745685026,-0.0031957929,-0.0117179072
sportmodestate,1790284120.016780,0.999708891,0.0020879847,-0.0106410766,0.021559678,0.00371677335,-0.021367617,0.0430855155,0.220266551,0.180762231,9.45709705,-0.0170442294,0.0117179072,-0.0063915858
sportmodestate,1790284120.020267,0.999708772,0.00208798307,-0.0106553975,0.021558689,0.00371617521,-0.0213962495,0.0430834964,0.268150598,0.152031809,9.3637228,-0.0106526427,0.00852211472,-0.0170442294
sportmodestate,1790284120.023388,0.999708593,0.00208292343,-0.0106450263,0.0215695295,0.0037062706,-0.021375332,0.0431053266,0.268150598,0.152031809,9.3637228,-0.0138484361,0.00532632135,-0.0149137005
sportmodestate,1790284120.026924,0.999708474,0.00207825215,-0.0106448028,0.021577578,0.00369676668,-0.0213747155,0.0431215279,0.266953498,0.142454997,9.32781029,-0.0170442294,0.00852211472,-0.00106526434
sportmodestate,1790284120.030130,0.999708414,0.00207923632,-0.0106524769,0.0215799231,0.00369835389,-0.021390114,0.043126177,0.268150598,0.196324542,9.36013126,-0.015978964,0.0117179072,-0.00745685026
sportmodestate,1790284120.033295,0.999708295,0.00207712664,-0.0106542027,0.0215789191,0.00369408238,-0.0213934649,0.0431242138,0.268150598,0.196324542,9.36013126,-0.0117179072,0.00852211472,-0.0106526427
sportmodestate,1790284120.036569,0.999708295,0.00207256712,-0.0106555717,0.021581091,0.00368485786,-0.0213960167,0.0431286506,0.254982471,0.129286885,9.39963627,-0.0191747583,0.00852211472,-0.00852211472
sportmodestate,1790284120.039993,0.999708295,0.00206786836,-0.0106506851,0.0215819776,0.00367565244,-0.0213860441,0.0431305394,0.239420176,0.164002821,9.40921307,-0.0223705508,0.0202400219,-0.0063915858
sportmodestate,1790284120.043298,0.999708354,0.00205765362,-0.0106482124,0.0215836093,0.00365529605,-0.0213806666,0.04313403,0.239420176,0.164002821,9.40921307,-0.0170442294,0.0170442294,-0.0149137005
sportmodestate,1790284120.046668,0.999708414,0.00205552229,-0.0106424792,0.0215811338,0.00365133351,-0.0213690996,0.0431291386,0.276530296,0.16759412,9.45709705,-0.0191747583,0.015978964,-0.018109493
sportmodestate,1790284120.050067,0.999708295,0.00204616901,-0.0106427083,0.0215882715,0.00363246538,-0.0213691816,0.0431436151,0.282515794,0.141257897,9.38167953,-0.0266316086,0.0223705508,0.0031957929
sportmodestate,1790284120.053397,0.999708176,0.00205069548,-0.0106608234,0.0215892401,0.0036407169,-0.0214056056,0.043145407,0.282515794,0.141257897,9.38167953,-0.0170442294,0.0138484361,-0.0117179072
sportmodestate,1790284120.056712,0.999708056,0.00204585865,-0.0106563764,0.0215931293,0.00363115198,-0.0213965159,0.0431533046,0.260968,0.123301387,9.39963627,-0.0117179072,0.00958737917,-0.0191747583
sportmodestate,1790284120.060204,0.999708056,0.00204126607,-0.0106491549,0.021599384,0.00362214446,-0.0213819016,0.0431659408,0.260968,0.123301387,9.39963627,-0.0255663432,0.0276968721,0
sportmodestate,1790284120.063373,0.999708176,0.00204049679,-0.0106520029,0.0215914976,0.00362065225,-0.0213875324,0.0431501679,0.287304193,0.123301387,9.39005947,-0.0223705508,0.0031957929,-0.0170442294
sportmodestate,1790284120.066796,0.999707878,0.00204018573,-0.0106587699,0.0216011405,0.0036195321,-0.0214010868,0.0431694463,0.328005642,0.165199921,9.40801525,-0.00213052868,0.00852211472,-0.00958737917
sportmodestate,1790284120.069978,0.999707878,0.0020306292,-0.0106606772,0.0216008164,0.00360034523,-0.0214044861,0.0431689993,0.328005642,0.165199921,9.40801525,-0.0213052854,0.015978964,-0.0063915858
sportmodestate,1790284120.073330,0.999707699,0.00201294245,-0.0106593268,0.0216114372,0.00356480456,-0.0214010626,0.0431906357,0.288501292,0.14724341,9.29548836,-0.0255663432,0.0223705508,-0.00213052868
sportmodestate,1790284120.076844,0.99970758,0.00199659937,-0.0106507028,0.0216243174,0.00353221619,-0.021383157,0.0432167687,0.244208574,0.1316811,9.47026443,-0.0308926646,0.0276968721,-0.00213052868
sportmodestate,1790284120.080104,0.99970746,0.00199473533,-0.0106468135,0.0216321535,0.00352848903,-0.0213753264,0.0432325043,0.244208574,0.1316811,9.47026443,0.0031957929,0.0170442294,-0.00532632135
sportmodestate,1790284120.083547,0.99970752,0.00199888693,-0.0106450496,0.0216281395,0.00353695382,-0.0213719625,0.0432243869,0.287304193,0.0921767652,9.31943035,-0.0255663432,0.00745685026,-0.0138484361
sportmodestate,1790284120.087035,0.999707401,0.00200733496,-0.0106481705,0.0216347594,0.00355357211,-0.0213785954,0.0432374403,0.262165099,0.104147777,9.39484787,-0.0063915858,0.00106526434,-0.0191747583
sportmodestate,1790284120.089807,0.999707341,0.00201539183,-0.0106550585,0.0216319095,0.00356944883,-0.0213927068,0.0432315506,0.262165099,0.104147777,9.39484787,-0.00852211472,0.00852211472,-0.00958737917
sportmodestate,1790284120.093350,0.999707282,0.00201547006,-0.0106557757,0.0216352604,0.00356950238,-0.0213941559,0.0432382524,0.251391172,0.152031809,9.38048267,-0.0031957929,0.0063915858,-0.00745685026
sportmodestate,1790284120.096744,0.999707282,0.00201008865,-0.01066049,0.0216310192,0.0035586278,-0.0214033332,0.0432298742,0.248996973,0.118512981,9.48223591,-0.0191747583,0.00426105736,-0.00745685026
sportmodestate,1790284120.100027,0.99970746,0.00200329022,-0.0106588071,0.0216259826,0.00354521209,-0.0213996582,0.0432199389,0.248996973,0.118512981,9.48223591,-0.0202400219,0.0170442294,-0.0149137005
sportmodestate,1790284120.103363,0.99970752,0.00200208137,-0.010660219,0.0216213111,0.00354283373,-0.0214024112,0.0432106182,0.277727395,0.136469498,9.41998672,-0.0138484361,0.015978964,-0.00852211472
