recv_epoch,tick,power_v,power_a,ff_FR,ff_FL,ff_RR,ff_RL,q_FR_hip,dq_FR_hip,tau_FR_hip,cnt_FR_hip,temp_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,cnt_FR_thigh,temp_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,cnt_FR_calf,temp_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,cnt_FL_hip,temp_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,cnt_FL_thigh,temp_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,cnt_FL_calf,temp_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,cnt_RR_hip,temp_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,cnt_RR_thigh,temp_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,cnt_RR_calf,temp_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,cnt_RL_hip,temp_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,cnt_RL_thigh,temp_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf,cnt_RL_calf,temp_RL_calf
1790284041.149468,772571,30.0663,3.0764,110,109,89,105,-0.0201419387,-0.0503818095,2.12749219,86,28,0.653342843,0.0775104761,1.60798836,65,27,-1.3708539,0.0101100625,7.39674616,156,28,0.0211411119,0.0426307619,-2.20170712,-89,28,0.660094738,0,1.06374609,43,27,-1.36382437,-0.018198112,6.59069061,139,27,-0.0749336481,0.0503818095,7.74308205,313,30,0.658302844,0.0271286666,1.11322272,45,26,-1.35780573,0.0141540868,5.8794651,124,28,0.0757366419,-0.0620083809,-7.96572685,-322,30,0.664933681,0.0232531428,0.643195331,26,27,-1.34840643,0.00606603734,5.0259943,106,28
1790284041.151289,772573,30.0663,3.1105,109,109,89,105,-0.0201116614,0.019377619,2.0780158,84,28,0.653282285,-0.019377619,1.63272667,66,27,-1.37090135,-0.0768364742,7.30191612,154,28,0.0211108327,-0.00775104761,-2.0780158,-84,28,0.660064459,-0.0503818095,1.08848441,44,27,-1.3638401,0.018198112,6.63810587,140,27,-0.0749336481,0.0271286666,7.6936059,311,30,0.658272624,-0.0155020952,1.18743753,48,26,-1.35782158,-0.00202201237,6.06912518,128,28,0.0758274794,0.108514667,-7.84203529,-317,30,0.664903402,-0.0310041904,0.667933583,27,27,-1.34840643,0.018198112,5.12082434,108,28
1790284041.153339,772576,30.0663,3.1447,109,109,89,105,-0.0201419387,-0.0232531428,2.12749219,86,28,0.653312564,0.0155020952,1.60798836,65,27,-1.37086976,-0.0202201251,7.25450134,153,28,0.0211108327,0,-2.20170712,-89,28,0.660064459,-0.0387552381,1.16269922,47,27,-1.36382437,-0.0101100625,6.68552065,141,27,-0.0749639273,0.0620083809,7.79255867,315,30,0.658272624,-0.0232531428,1.16269922,47,26,-1.35782158,-0.0202201251,5.97429514,126,28,0.0757972002,0.0387552381,-8.01520348,-324,30,0.664903402,-0.0116265714,0.643195331,26,27,-1.3483907,0.0283081736,5.07340956,107,28
1790284041.155379,772578,30.0663,3.1105,109,109,89,105,-0.0201419387,0,2.20170712,89,28,0.653282285,-0.019377619,1.70694149,69,27,-1.37086976,-0.0121320747,7.30191612,154,28,0.0210805535,-0.0387552381,-2.12749219,-86,28,0.660094738,0.0155020952,1.16269922,47,27,-1.36380851,0.016176099,6.63810587,140,27,-0.0749942064,-0.0658839047,7.79255867,315,30,0.658302844,0.0387552381,1.06374609,43,26,-1.35782158,0.0303301867,5.97429514,126,28,0.075766921,-0.0116265714,-8.01520348,-324,30,0.664903402,-0.0155020952,0.519503951,21,27,-1.34842229,-0.0141540868,5.21565437,110,28
1790284041.157704,772580,30.0663,3.1105,110,109,89,105,-0.0201419387,-0.0155020952,2.1522305,87,28,0.653312564,0.0426307619,1.63272667,66,27,-1.37086976,-0.0323521979,7.30191612,154,28,0.0210805535,-0.0542573333,-2.10275388,-85,28,0.660064459,-0.0310041904,1.08848441,44,27,-1.36380851,0.016176099,6.63810587,140,27,-0.0749639273,-0.00775104761,7.81729698,316,30,0.658333123,0.0813859999,1.06374609,43,26,-1.35782158,-0.018198112,6.02170992,127,28,0.0757972002,0.0387552381,-8.0646801,-326,30,0.664933681,0.0542573333,0.643195331,26,27,-1.34842229,-0.018198112,5.0259943,106,28
1790284041.159374,772582,30.0575,3.1105,110,109,89,105,-0.0201419387,-0.00387552381,2.10275388,85,28,0.653282285,-0.0116265714,1.50903523,61,27,-1.37086976,-0.00808804948,7.44416142,157,28,0.0210805535,-0.0426307619,-2.02853918,-82,28,0.660064459,-0.0387552381,1.18743753,48,27,-1.36382437,-0.0101100625,6.63810587,140,27,-0.0749639273,-0.0155020952,7.81729698,316,30,0.658302844,0.0116265714,1.08848441,44,26,-1.35780573,0.0202201251,5.97429514,126,28,0.075766921,0,-8.03994179,-325,30,0.664903402,-0.0116265714,0.568980455,23,27,-1.34842229,-0.0242641494,5.0259943,106,28
1790284041.161351,772583,30.0663,3.1447,110,109,89,105,-0.0201419387,-0.0310041904,2.10275388,85,28,0.653282285,-0.0116265714,1.70694149,69,27,-1.37086976,-0.00606603734,7.39674616,156,28,0.0211108327,0,-2.10275388,-85,28,0.660064459,-0.0387552381,1.18743753,48,27,-1.36382437,-0.0101100625,6.63810587,140,27,-0.0749336481,0.00775104761,7.6936059,311,30,0.658302844,0.0271286666,1.08848441,44,26,-1.35780573,0.0202201251,6.02170992,127,28,0.075766921,-0.0116265714,-7.94098854,-321,30,0.664903402,0.00775104761,0.568980455,23,27,-1.34840643,0.00808804948,5.0259943,106,28
1790284041.163572,772585,30.0575,3.1789,110,109,89,105,-0.0201419387,-0.0310041904,2.10275388,85,28,0.653282285,-0.0116265714,1.70694149,69,27,-1.37086976,-0.0202201251,7.30191612,154,28,0.0211108327,0.0116265714,-2.0780158,-84,28,0.660094738,0.00387552381,1.0390079,42,27,-1.36379278,0.0485282987,6.68552065,141,27,-0.0749336481,0.0426307619,7.86677361,318,30,0.658302844,0,1.0390079,42,26,-1.35780573,0.0222421363,6.06912518,128,28,0.0757972002,0.0387552381,-8.03994179,-325,30,0.664903402,0.0116265714,0.692671895,28,27,-1.34840643,0.0222421363,5.07340956,107,28
1790284041.165458,772588,30.0663,3.1789,109,109,89,105,-0.0201419387,-0.0271286666,2.12749219,86,28,0.653282285,0,1.73167968,70,27,-1.3708539,0.00808804948,7.25450134,153,28,0.0211108327,0,-2.1522305,-87,28,0.660064459,-0.0387552381,1.08848441,44,27,-1.36379278,0.0444842726,6.63810587,140,27,-0.0749336481,0.0116265714,7.79255867,315,30,0.658302844,0.0387552381,1.11322272,45,26,-1.35783732,-0.0444842726,5.97429514,126,28,0.0757972002,0.0387552381,-8.03994179,-325,30,0.664903402,0,0.643195331,26,27,-1.34840643,0.0202201251,5.07340956,107,28
1790284041.167437,772589,30.0663,3.1447,109,109,89,105,-0.0201419387,-0.00387552381,2.1522305,87,28,0.653312564,0.0581328608,1.60798836,65,27,-1.37086976,-0.016176099,7.39674616,156,28,0.0211108327,-0.00775104761,-2.1522305,-87,28,0.660064459,-0.0503818095,1.08848441,44,27,-1.36382437,-0.0141540868,6.63810587,140,27,-0.0749639273,-0.00775104761,7.86677361,318,30,0.658302844,0.0310041904,1.06374609,43,26,-1.35782158,-0.016176099,6.02170992,127,28,0.0757972002,0.0387552381,-8.03994179,-325,30,0.664903402,-0.00387552381,0.568980455,23,27,-1.34840643,0.018198112,5.07340956,107,28
